@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {0,1,2,3,4,5,6,7}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, 0
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, 0
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, 0
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, 0
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, 0
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, 0
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, 0
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, 0
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, 0
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, 0
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, 0
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, 0
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, 0
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, 0
6.0, 61.0, 48.0, 5.0, 49.0, 92.0, 37.0, 1
63.0, 47.0, 48.0, 5.0, 51.0, 82.0, 84.0, 1
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, 1
31.0, 5.0, 48.0, 5.0, 57.0, 84.0, 85.0, 1
74.0, 44.0, 48.0, 5.0, 55.0, 88.0, 89.0, 1
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, 1
37.0, 47.0, 48.0, 5.0, 39.0, 76.0, 79.0, 1
1.0, 49.0, 48.0, 5.0, 41.0, 67.0, 21.0, 1
79.0, 41.0, 48.0, 5.0, 66.0, 81.0, 83.0, 4
81.0, 44.0, 48.0, 5.0, 42.0, 67.0, 68.0, 4
86.0, 39.0, 48.0, 5.0, 59.0, 89.0, 9.0, 4
87.0, 49.0, 48.0, 5.0, 61.0, 76.0, 79.0, 4
78.0, 68.0, 48.0, 5.0, 83.0, 4.0, 29.0, 5
74.0, 78.0, 48.0, 5.0, 75.0, 54.0, 15.0, 5
68.0, 82.0, 48.0, 5.0, 38.0, 65.0, 56.0, 7
32.0, 39.0, 48.0, 5.0, 53.0, 28.0, 38.0, 7
64.0, 84.0, 48.0, 5.0, 37.0, 45.0, 4.0, 7
63.0, 8.0, 48.0, 5.0, 46.0, 31.0, 29.0, 7
62.0, 78.0, 48.0, 5.0, 47.0, 49.0, 54.0, 7
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, 7
