@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.807, 2.227, -0.556, -0.225, 0.161, 0
0.619, 2.238, -0.417, -0.184, -0.125, 0
1.669, 2.226, 0.545, 0.229, -0.139, 0
0.48, 1.502, 2.495, -0.692, 0.402, 1
0.874, 3.03, -0.496, 0.243, 0.48, 0
1.712, 1.764, 0.375, 0.511, 0.589, 0
0.577, 3.348, -0.621, -0.245, 0.0, 0
2.456, 0.964, 0.686, 0.849, -0.257, 0
0.812, 0.762, 2.242, -0.792, 0.405, 0
0.398, 1.547, 1.228, 0.466, -0.268, 0
0.336, 0.875, 2.576, 1.339, -0.557, 0
1.115, 0.331, 1.24, 2.039, 1.045, 1
-0.105, 0.697, 1.461, 0.0, 0.0, 1
1.466, 0.924, -0.172, -0.073, 0.076, 0
1.142, 1.867, -0.351, -0.161, -0.11, 0
0.276, 1.107, 2.229, 1.18, 0.0, 0
0.249, 1.297, 2.72, -0.722, -0.384, 0
0.128, 0.434, 0.509, 2.041, 0.0, 0
0.303, 2.016, -0.448, 0.305, -0.123, 0
0.98, 2.364, -0.496, -0.186, -0.109, 0
0.184, 0.425, 0.952, 2.461, -0.845, 0
0.24, 1.068, 2.387, -0.747, -0.297, 0
0.343, 1.708, 0.602, 0.25, 0.138, 0
0.278, 0.72, 0.442, 1.172, -0.538, 1
0.152, 0.631, 1.342, 2.041, 0.0, 0
1.488, 1.97, 0.515, 1.191, -0.329, 0
1.089, 2.187, 1.117, 0.572, 0.85, 0
-0.155, 1.643, 1.345, 0.62, 0.372, 0
0.22, 0.709, 1.048, 1.3, -0.721, 1
1.222, 1.182, -0.186, -0.099, -0.054, 0
0.169, 0.41, 0.485, -0.646, 1.926, 0
0.122, 0.561, 0.927, 0.0, 0.0, 1
1.408, 1.792, -0.344, -0.124, -0.081, 0
0.79, 2.386, -0.403, 0.24, 0.164, 0
0.293, 1.058, 2.634, -0.756, 0.0, 0
0.186, 0.699, 0.514, 0.797, 0.0, 1
0.222, 1.521, 1.321, -0.514, 0.0, 0
0.079, 0.293, 0.883, -0.332, -0.419, 1
0.324, 1.166, 2.049, 0.952, -0.677, 1
0.213, 1.071, 2.003, -0.609, -0.229, 0
0.711, 2.712, 1.415, -0.44, -0.2, 0
1.644, 1.98, 0.579, 1.252, -0.293, 0
1.032, 2.486, -0.491, 0.28, 0.607, 0
1.26, 0.695, -0.122, 0.112, 0.109, 0
3.167, 0.529, -0.143, 0.172, -0.063, 0
-0.147, 1.023, 1.96, 0.901, 0.0, 0
1.423, 2.429, 0.999, 0.553, -0.157, 0
0.219, 0.562, 0.59, 1.387, 0.0, 1
0.378, 1.737, 1.078, -0.445, 0.0, 0
0.223, 0.497, 1.054, 1.099, 0.0, 1
1.231, 1.554, 2.102, -0.409, -0.219, 1
1.936, 0.848, 0.203, 0.154, 0.112, 0
0.12, 0.38, 0.413, 0.997, 0.0, 0
0.677, 1.384, 1.891, 0.778, 0.913, 1
0.48, 1.042, 1.914, -0.442, -0.221, 0
1.05, 1.982, 0.613, 1.541, -0.359, 0
0.108, 0.305, 0.386, -0.664, -1.016, 0
1.017, 2.97, -0.393, -0.158, -0.138, 0
0.223, 0.609, 1.516, 0.618, 0.0, 1
0.864, 1.505, -0.241, -0.13, 0.097, 0
1.422, 2.28, -0.554, -0.21, 0.114, 0
0.437, 1.435, 0.502, 0.303, 0.0, 0
0.437, 2.9, -0.578, 1.17, -0.385, 0
0.214, 1.201, 0.711, 1.41, 0.764, 1
0.717, 1.937, 0.963, -0.257, 0.209, 0
0.219, 1.447, 2.493, -0.868, -0.375, 0
0.222, 0.672, -0.637, 2.422, -1.051, 1
0.095, 0.496, 0.329, 0.523, 1.063, 0
0.204, 0.779, 0.901, 1.357, 0.0, 1
