@relation winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
7.4, 0.7, 0.0, 1.9, 0.076, 11.0, 34.0, 0.9978, 3.51, 0.56, 9.4, 5
8.5, 0.49, 0.11, 2.3, 0.084, 9.0, 67.0, 0.9968, 3.17, 0.53, 9.4, 5
7.6, 0.41, 0.24, 1.8, 0.08, 4.0, 11.0, 0.9962, 3.28, 0.59, 9.5, 5
5.7, 1.13, 0.09, 1.5, 0.172, 7.0, 19.0, 0.994, 3.5, 0.48, 9.8, 4
4.6, 0.52, 0.15, 2.1, 0.054, 8.0, 65.0, 0.9934, 3.9, 0.56, 13.1, 4
7.7, 0.935, 0.43, 2.2, 0.114, 22.0, 114.0, 0.997, 3.25, 0.73, 9.2, 5
6.9, 0.55, 0.15, 2.2, 0.076, 19.0, 40.0, 0.9961, 3.41, 0.59, 10.1, 5
10.1, 0.31, 0.44, 2.3, 0.08, 22.0, 46.0, 0.9988, 3.32, 0.67, 9.7, 6
5.6, 0.5, 0.09, 2.3, 0.049, 17.0, 99.0, 0.9937, 3.63, 0.63, 13.0, 5
8.3, 0.715, 0.15, 1.8, 0.089, 10.0, 52.0, 0.9968, 3.23, 0.77, 9.5, 5
7.1, 0.43, 0.42, 5.5, 0.07, 29.0, 129.0, 0.9973, 3.42, 0.72, 10.5, 5
7.9, 0.5, 0.33, 2.0, 0.084, 15.0, 143.0, 0.9968, 3.2, 0.55, 9.5, 5
7.8, 0.59, 0.33, 2.0, 0.074, 24.0, 120.0, 0.9968, 3.25, 0.54, 9.4, 5
6.9, 1.09, 0.06, 2.1, 0.061, 12.0, 31.0, 0.9948, 3.51, 0.43, 11.4, 4
11.0, 0.3, 0.58, 2.1, 0.054, 7.0, 19.0, 0.998, 3.31, 0.88, 10.5, 7
8.0, 0.38, 0.06, 1.8, 0.078, 12.0, 49.0, 0.99625, 3.37, 0.52, 9.9, 6
11.1, 0.35, 0.48, 3.1, 0.09, 5.0, 21.0, 0.9986, 3.17, 0.53, 10.5, 5
7.7, 0.41, 0.76, 1.8, 0.611, 8.0, 45.0, 0.9968, 3.06, 1.26, 9.4, 5
11.5, 0.18, 0.51, 4.0, 0.104, 4.0, 23.0, 0.9996, 3.28, 0.97, 10.1, 6
8.7, 0.52, 0.09, 2.5, 0.091, 20.0, 49.0, 0.9976, 3.34, 0.86, 10.6, 7
6.9, 0.36, 0.25, 2.4, 0.098, 5.0, 16.0, 0.9964, 3.41, 0.6, 10.1, 6
7.1, 0.63, 0.06, 2.0, 0.083, 8.0, 29.0, 0.99855, 3.67, 0.73, 9.6, 5
7.9, 0.53, 0.24, 2.0, 0.072, 15.0, 105.0, 0.996, 3.27, 0.54, 9.4, 6
7.4, 0.36, 0.29, 2.6, 0.087, 26.0, 72.0, 0.99645, 3.39, 0.68, 11.0, 5
12.2, 0.34, 0.5, 2.4, 0.066, 10.0, 21.0, 1.0, 3.12, 1.18, 9.2, 6
