@relation winequality-white
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.0090,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
8.1, 0.28, 0.4, 6.9, 0.05, 30.0, 97.0, 0.9951, 3.26, 0.44, 10.1, 6
7.4, 0.34, 0.42, 1.1, 0.033, 17.0, 171.0, 0.9917, 3.12, 0.53, 11.3, 6
6.6, 0.24, 0.27, 1.4, 0.057, 33.0, 152.0, 0.9934, 3.22, 0.56, 9.5, 6
6.2, 0.45, 0.26, 4.4, 0.063, 63.0, 206.0, 0.994, 3.27, 0.52, 9.8, 4
6.9, 0.25, 0.35, 1.3, 0.039, 29.0, 191.0, 0.9908, 3.13, 0.52, 11.0, 6
7.0, 0.47, 0.07, 1.1, 0.035, 17.0, 151.0, 0.991, 3.02, 0.34, 10.5, 5
7.2, 0.24, 0.27, 1.4, 0.038, 31.0, 122.0, 0.9927, 3.15, 0.46, 10.3, 6
6.7, 0.25, 0.13, 1.2, 0.041, 81.0, 174.0, 0.992, 3.14, 0.42, 9.8, 5
7.1, 0.34, 0.2, 6.1, 0.063, 47.0, 164.0, 0.9946, 3.17, 0.42, 10.0, 5
7.1, 0.43, 0.61, 11.8, 0.045, 54.0, 155.0, 0.9974, 3.11, 0.45, 8.7, 5
6.0, 0.34, 0.66, 15.9, 0.046, 26.0, 164.0, 0.9979, 3.14, 0.5, 8.8, 6
7.1, 0.12, 0.32, 9.6, 0.054, 64.0, 162.0, 0.9962, 3.4, 0.41, 9.4, 5
7.2, 0.31, 0.5, 13.3, 0.056, 68.0, 195.0, 0.9982, 3.01, 0.47, 9.2, 5
6.7, 0.41, 0.34, 9.2, 0.049, 29.0, 150.0, 0.9968, 3.22, 0.51, 9.1, 5
